TableName,Column,Description,CTA
SG_CSV0000000000000925.csv,respondent_serial,"The 'respondent_serial' column contains unique numerical identifiers assigned to each respondent participating in the survey, ensuring each entry is distinctly recognizable within the dataset.",Identifier
SG_CSV0000000000000925.csv,respondent_id,"The 'respondent_id' column contains unique identifiers assigned to each survey participant, formatted as a string that typically begins with ""GEN24_"" followed by a number or a combination of characters and numbers, serving to distinguish each respondent within the dataset.",Identifier
SG_CSV0000000000000925.csv,country,"The ""country"" column contains the name of the country where the respondent is from, in this case, all recorded instances show ""Singapore.""",Country
SG_CSV0000000000000925.csv,yearbornin_1_slice,"The 'yearbornin_1_slice' column indicates a slice or portion of the year in which each respondent was born, suggesting the year or range of years defining the time period of their birth.",Date
SG_CSV0000000000000925.csv,yearbornin_1_slice1,"The 'yearbornin_1_slice1' column represents the year in which respondents were born, likely segmented or categorized in some fashion different from 'yearbornin_1_slice', to help in analyzing age-related trends or patterns within the dataset.",Number
SG_CSV0000000000000925.csv,ageofrespondent,The 'ageofrespondent' column contains numerical values representing the age of each respondent at the time the data was collected.,Age
SG_CSV0000000000000925.csv,indicateage,"The ""indicateage"" column contains binary values indicating whether or not the respondent has provided their age.",Boolean
SG_CSV0000000000000925.csv,gender,"The ""gender"" column indicates the gender identity of the respondent, typically represented as different categorical variables such as 'Male' and 'Female'.",Gender
SG_CSV0000000000000925.csv,occstatus,"The 'occstatus' column describes the employment or occupational status of each respondent, indicating if they are likely working, unemployed, retired, or in another employment condition.",category
SG_CSV0000000000000925.csv,levelsch,The 'levelsch' column indicates the highest level of education attained or the educational qualification of the respondent.,category
SG_CSV0000000000000925.csv,highestlevel,The 'highestlevel' column denotes the highest educational level attained by the respondents in the survey.,category
SG_CSV0000000000000925.csv,unisch,"The column 'unisch' likely contains data indicating whether respondents attended or completed a university education, as inferred from potential binary values like ""Yes"" and ""No"" that denote participation or completion status in higher education.",Boolean
SG_CSV0000000000000925.csv,postgradsch,"The 'postgradsch' column indicates whether the respondent has attended any postgraduate school, likely marked by categorical variables such as 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,occupationindustry,The 'occupationindustry' column likely contains information about the specific industry or sector in which the respondent works or is employed.,category
SG_CSV0000000000000925.csv,occupation2,"The column 'occupation2' lists the respondent's occupation or professional status, indicating their primary type of employment or professional affiliation.",JobPosting
SG_CSV0000000000000925.csv,whichauthority,"The 'whichauthority' column contains information on respondents' preferred or most identified authority or guiding principle, as indicated by values such as 'Family', 'Government', or 'Religion'.",category
SG_CSV0000000000000925.csv,rankmostimptchild_1,The 'rankmostimptchild_1' column captures a numerical value indicating the priority or significance assigned by the respondent regarding their perception of an important aspect or characteristic related to children.,Number
SG_CSV0000000000000925.csv,rankmostimptchild_2,"The 'rankmostimptchild_2' column likely contains ordinal data reflecting the priority or importance assigned by respondents to certain aspects or traits considered most important for children to learn, indicated as a numerical ranking or position in a list of such traits.",category
SG_CSV0000000000000925.csv,rankmostimptchild_3,"The 'rankmostimptchild_3' column contains a ranking or prioritization value that signifies the respondent's perception regarding the importance of a specific aspect related to children, where higher values likely represent higher importance in the context of a survey or study.",Number
SG_CSV0000000000000925.csv,livinginsg_1_slice,"The 'livinginsg_1_slice' column indicates whether the respondent lives in Singapore or not, as a part of a demographic survey, typically reflecting residential status during the time of data collection.",Boolean
SG_CSV0000000000000925.csv,livinginsg_2_slice,"The ""livinginsg_2_slice"" column indicates a binary response (either 'Yes' or 'No') reflecting whether the respondent currently resides in Singapore.",Boolean
SG_CSV0000000000000925.csv,livinginsg_3_slice,"The ""livinginsg_3_slice"" column signifies whether the respondent is currently residing in Singapore, often represented as binary values indicating 'Yes' or 'No'.",Boolean
SG_CSV0000000000000925.csv,livinginsg_4_slice,"The ""livinginsg_4_slice"" column indicates whether the respondent was living in Singapore at the time of the survey.",Boolean
SG_CSV0000000000000925.csv,vbc,The 'vbc' column contains binary categorical values 'Yes' or 'No' denoting the response to a specific question or condition in the survey.,Boolean
SG_CSV0000000000000925.csv,sliderliberty_1_slice,"The column 'sliderliberty_1_slice' likely contains quantitative data representing responses or ratings related to the concept of liberty, potentially on a sliding scale, as a part of a larger survey or study.",Number
